,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
176,2021-12-02,3365.020687964691,3207.9402207489425,3560.9684370779637,3365.020687964691,3365.020687964691,23.731277693927765,23.731277693927765,23.731277693927765,23.731277693927765,23.731277693927765,23.731277693927765,0.0,0.0,0.0,3388.751965658619
177,2021-12-03,3362.8023312467612,3200.7006184421984,3559.816266866398,3362.8023312467612,3362.8023312467612,17.417361652791378,17.417361652791378,17.417361652791378,17.417361652791378,17.417361652791378,17.417361652791378,0.0,0.0,0.0,3380.2196928995527
178,2021-12-06,3356.1472610929704,3197.068583632385,3550.0277122591715,3356.1472610929704,3356.1472610929704,15.795904411630067,15.795904411630067,15.795904411630067,15.795904411630067,15.795904411630067,15.795904411630067,0.0,0.0,0.0,3371.9431655046005
179,2021-12-07,3352.7297969554825,3196.724379273774,3561.964934907307,3352.7297969554825,3352.7297969554825,24.87791117429378,24.87791117429378,24.87791117429378,24.87791117429378,24.87791117429378,24.87791117429378,0.0,0.0,0.0,3377.6077081297763
180,2021-12-08,3349.312332817994,3192.6319048729956,3558.7616995719304,3349.312332817994,3349.312332817994,24.372997786579226,24.372997786579226,24.372997786579226,24.372997786579226,24.372997786579226,24.372997786579226,0.0,0.0,0.0,3373.685330604573
181,2021-12-09,3345.8948686805056,3192.9920264065886,3537.709722592863,3345.8948686805056,3345.8948686805056,23.731277693941657,23.731277693941657,23.731277693941657,23.731277693941657,23.731277693941657,23.731277693941657,0.0,0.0,0.0,3369.626146374447
182,2021-12-10,3342.477404543017,3188.6438526657207,3530.6383441220255,3342.477404543017,3342.477404543017,17.417361652743445,17.417361652743445,17.417361652743445,17.417361652743445,17.417361652743445,17.417361652743445,0.0,0.0,0.0,3359.8947661957604
183,2021-12-13,3332.2250121305524,3170.3737497396132,3519.123335435818,3332.2250121305524,3332.2250121305524,15.795904411637432,15.795904411637432,15.795904411637432,15.795904411637432,15.795904411637432,15.795904411637432,0.0,0.0,0.0,3348.0209165421898
184,2021-12-14,3328.807547993064,3174.889028619533,3530.932646111075,3328.807547993064,3328.807547993064,24.87791117430463,24.87791117430463,24.87791117430463,24.87791117430463,24.87791117430463,24.87791117430463,0.0,0.0,0.0,3353.6854591673687
185,2021-12-15,3325.3900838555755,3175.1583483455292,3530.526004768614,3325.3900838555755,3325.3900838555755,24.372997786579504,24.372997786579504,24.372997786579504,24.372997786579504,24.372997786579504,24.372997786579504,0.0,0.0,0.0,3349.763081642155
186,2021-12-16,3321.9726197180876,3146.6631810287226,3522.693082741728,3321.9726197180876,3321.9726197180876,23.731277693955548,23.731277693955548,23.731277693955548,23.731277693955548,23.731277693955548,23.731277693955548,0.0,0.0,0.0,3345.7038974120433
187,2021-12-17,3317.8436961914085,3166.4151723107466,3514.3336864543935,3317.8436961914085,3317.8436961914085,17.41736165273371,17.41736165273371,17.41736165273371,17.41736165273371,17.41736165273371,17.41736165273371,0.0,0.0,0.0,3335.261057844142
188,2021-12-20,3305.456925611372,3148.3615201182483,3497.7247758409208,3305.456925611372,3305.456925611372,15.795904411730385,15.795904411730385,15.795904411730385,15.795904411730385,15.795904411730385,15.795904411730385,0.0,0.0,0.0,3321.2528300231024
189,2021-12-21,3301.3280020846923,3155.4064234644716,3506.8999965818707,3301.3280020846923,3301.3280020846923,24.8779111742897,24.8779111742897,24.8779111742897,24.8779111742897,24.8779111742897,24.8779111742897,0.0,0.0,0.0,3326.205913258982
190,2021-12-22,3297.1990785580138,3152.6952627974592,3501.2359133077807,3297.1990785580138,3297.1990785580138,24.372997786579784,24.372997786579784,24.372997786579784,24.372997786579784,24.372997786579784,24.372997786579784,0.0,0.0,0.0,3321.5720763445934
191,2021-12-23,3293.0701550313343,3132.2718342216003,3493.5904080670625,3293.0701550313343,3293.0701550313343,23.73127769391697,23.73127769391697,23.73127769391697,23.73127769391697,23.73127769391697,23.73127769391697,0.0,0.0,0.0,3316.8014327252513
192,2021-12-27,3276.5544609246185,3100.1345374077396,3459.371284410449,3276.5544609246185,3276.5544609246185,15.795904411737753,15.795904411737753,15.795904411737753,15.795904411737753,15.795904411737753,15.795904411737753,0.0,0.0,0.0,3292.3503653363564
193,2021-12-28,3272.4255373979395,3112.024728252534,3470.1965437096683,3272.4255373979395,3272.4255373979395,24.87791117435044,24.87791117435044,24.87791117435044,24.87791117435044,24.87791117435044,24.87791117435044,0.0,0.0,0.0,3297.30344857229
